transit_date,station_complex_id,station_ridership,inside_zone
1/11/2024,404,14770,1
1/11/2024,303,7093,0
1/11/2024,160,6892,0
1/11/2024,232,11708,1
1/11/2024,103,2399,1
1/11/2024,607,73968,1
1/11/2024,475,12372,0
1/11/2024,158,8669,0
1/11/2024,602,67304,1
1/11/2024,439,7578,0
1/11/2024,619,27195,1
1/11/2024,324,10368,1
1/11/2024,168,10920,1
1/12/2024,609,28063,1
1/12/2024,164,46443,1
1/12/2024,296,3192,0
1/12/2024,635,14715,1
1/12/2024,150,1737,0
1/12/2024,414,13657,1
1/12/2024,307,7615,0
1/12/2024,395,8208,0
1/12/2024,319,7697,1
1/12/2024,118,4917,1
1/12/2024,610,86028,1
1/12/2024,613,36480,1
1/12/2024,404,12377,1
1/12/2024,601,28840,1
1/12/2024,314,13516,0
1/12/2024,168,8687,1
1/12/2024,298,4369,0
1/12/2024,316,13537,1
1/12/2024,231,18689,1
1/12/2024,607,65596,1
1/12/2024,477,19991,0
1/12/2024,393,8070,0
1/12/2024,145,3035,0
1/12/2024,409,7862,1
1/12/2024,147,6924,0
1/12/2024,159,8900,0
1/12/2024,20,3737,1
1/12/2024,333,9741,1
1/12/2024,234,12007,1
1/12/2024,306,5561,0
1/12/2024,300,4805,0
1/12/2024,614,42257,1
1/12/2024,158,7981,0
1/12/2024,224,3593,1
1/12/2024,144,4154,0
1/12/2024,602,60941,1
1/12/2024,312,9757,0
1/12/2024,9,21231,1
1/12/2024,162,15914,1
1/12/2024,167,28527,1
1/12/2024,475,11638,0
1/12/2024,143,5728,0
1/12/2024,441,4400,0
1/12/2024,407,10951,1
1/12/2024,228,14795,1
1/12/2024,623,30251,1
1/12/2024,439,7603,0
1/12/2024,394,6240,0
1/12/2024,605,16629,0
1/12/2024,299,4510,0
1/12/2024,327,11516,1
1/12/2024,10,15490,1
1/12/2024,297,1572,0
1/12/2024,220,1838,0
1/12/2024,405,13685,1
1/12/2024,14,11030,1
1/12/2024,223,6617,0
1/12/2024,398,20995,0
1/12/2024,154,4642,0
1/12/2024,103,2469,1
1/12/2024,329,4336,1
1/12/2024,222,3156,0
1/12/2024,119,17300,1
1/12/2024,318,39368,1
1/12/2024,169,11400,1
1/12/2024,397,33454,0
1/12/2024,156,3141,0
1/12/2024,304,6409,0
1/12/2024,438,6562,0
1/12/2024,619,25568,1
1/12/2024,392,14460,0
1/12/2024,325,2844,1
1/12/2024,308,8448,0
1/12/2024,309,8217,0
1/12/2024,403,18396,1
1/12/2024,313,27281,0
1/12/2024,611,118069,1
1/12/2024,157,7047,0
1/12/2024,628,47979,1
1/12/2024,321,4991,1
1/12/2024,160,6751,0
1/12/2024,612,35724,1
1/12/2024,165,14015,1
1/12/2024,153,17003,0
1/12/2024,16,9854,1
1/12/2024,310,23063,0
1/12/2024,328,10021,1
1/12/2024,618,32222,1
1/12/2024,152,3580,0
1/12/2024,311,11608,0
1/12/2024,149,2801,0
1/12/2024,107,3685,1
1/12/2024,301,6589,0
1/12/2024,326,3758,1
1/12/2024,225,29177,1
1/12/2024,440,5876,0
1/12/2024,277,10633,1
1/12/2024,437,1936,0
1/12/2024,22,3254,1
1/12/2024,471,14519,1
1/12/2024,17,7955,1
1/12/2024,8,8856,0
1/12/2024,624,33094,1
1/12/2024,625,20739,1
1/12/2024,622,16589,1
1/12/2024,13,7563,1
1/12/2024,399,14797,0
1/12/2024,276,14228,1
1/12/2024,305,7467,0
1/12/2024,476,15367,0
1/12/2024,151,14760,0
1/12/2024,232,11389,1
1/12/2024,413,9176,1
1/12/2024,396,13298,0
1/12/2024,303,6999,0
1/12/2024,323,8167,1
1/12/2024,155,5065,0
