transit_date,station_complex_id,station_ridership
3/6/2025,145,3119
3/6/2025,303,7866
2/28/2025,153,19769
2/28/2025,22,3700
2/28/2025,14,12891
2/28/2025,405,18149
2/28/2025,118,5802
2/28/2025,437,2325
2/28/2025,319,9691
2/28/2025,321,5677
2/28/2025,119,23030
2/28/2025,165,16030
2/28/2025,231,18392
2/28/2025,316,16873
2/28/2025,476,19042
2/28/2025,477,24695
2/28/2025,438,8725
2/28/2025,440,7156
2/28/2025,147,7164
2/28/2025,300,5787
2/28/2025,151,16484
2/28/2025,396,13818
2/28/2025,144,4541
2/28/2025,475,14267
2/28/2025,16,12367
2/28/2025,158,8591
2/28/2025,299,5599
2/28/2025,10,18966
2/28/2025,398,21103
2/28/2025,439,10132
2/28/2025,393,11172
2/28/2025,301,8304
2/28/2025,150,1831
2/28/2025,220,2053
2/28/2025,145,3004
2/28/2025,320,10497
2/27/2025,151,18006
2/27/2025,157,7855
2/27/2025,407,13252
2/27/2025,476,19759
2/27/2025,10,20381
2/27/2025,16,13899
2/27/2025,321,6450
2/27/2025,605,19292
2/27/2025,328,11957
2/27/2025,316,19556
2/27/2025,147,7681
2/27/2025,439,10246
2/27/2025,414,18210
2/27/2025,118,5522
2/27/2025,304,6802
2/27/2025,297,1826
2/27/2025,409,8636
2/27/2025,319,10988
2/27/2025,276,15285
2/27/2025,152,4881
2/27/2025,324,13392
2/27/2025,309,9467
2/27/2025,146,7293
2/27/2025,405,23888
2/27/2025,232,12959
2/27/2025,228,21022
2/27/2025,13,9631
2/27/2025,397,36111
2/27/2025,162,17127
2/27/2025,475,14950
2/27/2025,306,7575
2/27/2025,477,26527
2/27/2025,395,10356
2/27/2025,119,22549
2/27/2025,220,2020
2/27/2025,310,27836
3/4/2025,277,14336
3/4/2025,13,9711
3/4/2025,321,6299
3/4/2025,119,21647
3/4/2025,306,7531
3/4/2025,320,10646
3/4/2025,476,20071
3/4/2025,17,8315
3/4/2025,316,19749
3/4/2025,276,16301
3/4/2025,297,1969
3/4/2025,232,11835
3/4/2025,312,11763
